Feature_1,Feature_2,Correlation,Abs_Correlation
is_zero_Iref,Ic_rollstd,0.005844068206152054,0.005844068206152054
Iref_rollmean,Ic_Ia_ratio,0.005705798543764296,0.005705798543764296
Imean,Vb_rollstd,-0.005577854295213483,0.005577854295213483
Iref_error,dIa_dt,-0.005561923834693455,0.005561923834693455
Vmean,Vb_rollstd,0.005544653299998471,0.005544653299998471
dVa_dt,dIa_dt,-0.005533715752244593,0.005533715752244593
dVc_dt,Ic_rollstd,-0.005350000329728044,0.005350000329728044
Ic,Vmean,-0.005329810679667745,0.005329810679667745
Power_factor,dVa_dt,0.0053168221836455785,0.0053168221836455785
Vmean,Ia_rollstd,0.005244453238766545,0.005244453238766545
THD,is_zero_Iref,0.005145581364580603,0.005145581364580603
dVc_dt,Power_factor,-0.0051130283897119115,0.0051130283897119115
Idiff_ca,Ia_rollstd,-0.005102198079184358,0.005102198079184358
Iref_error,is_zero_Iref,0.0050370256265524875,0.0050370256265524875
THD,dImean_dt,-0.00501443882444301,0.00501443882444301
Iref_rollmean,Va_rollstd,0.004998644253888827,0.004998644253888827
Apparent_Power,Vmean,-0.004928636727548034,0.004928636727548034
Iref_error,Va_rollstd,0.00488973178117469,0.00488973178117469
Iref_rollmean,Vmean,-0.004810355858792885,0.004810355858792885
Ic,Ic_Ia_ratio,0.004803464811472525,0.004803464811472525
is_zero_Iref,Vmean,-0.0047626082932443825,0.0047626082932443825
Ic_Ia_ratio,dVc_dt,0.0046289521828594745,0.0046289521828594745
Ib,dVb_dt,0.00458132574400948,0.00458132574400948
dVa_dt,Apparent_Power,-0.004454218134247128,0.004454218134247128
Vmean,Va_rollstd,-0.004436801085643147,0.004436801085643147
Imean,is_zero_Iref,0.004420776920212915,0.004420776920212915
THD,Istd,0.004409135377157687,0.004409135377157687
Ib,dIa_dt,0.004389394483350996,0.004389394483350996
Istd,Vb_rollstd,0.004046083558438532,0.004046083558438532
Istd,Idiff_ca,0.003973994338160994,0.003973994338160994
Ib_rollmean,Vmean,-0.003946229943820741,0.003946229943820741
dVc_dt,Power_VcIc,0.003932735926913617,0.003932735926913617
Idiff_ca,Va_rollstd,-0.00390257590414689,0.00390257590414689
is_zero_Iref,Idiff_ca,-0.003881961945306815,0.003881961945306815
Iref_rollmean,dVb_dt,0.0038172354261928605,0.0038172354261928605
dIa_dt,Ia_rollstd,-0.003708388341009302,0.003708388341009302
Imean,Va_rollstd,0.0036657310598623553,0.0036657310598623553
Apparent_Power,Power_VbIb,0.0033222919370362904,0.0033222919370362904
Iref_error,Iref_rollmean,0.003308513094779489,0.003308513094779489
Iref_error,Vb_rollstd,0.0032058926035767425,0.0032058926035767425
Ic_Ia_ratio,Power_VcIc,0.0031935316422328905,0.0031935316422328905
Ic,dVa_dt,-0.003189271950338059,0.003189271950338059
Iref_error,Ic,0.0031768524756882067,0.0031768524756882067
Ib_rollmean,dIa_dt,0.003148891384396376,0.003148891384396376
Iref_rollmean,dVc_dt,-0.0031427165275586403,0.0031427165275586403
Power_factor,Va_rollstd,0.0030978675983506774,0.0030978675983506774
dImean_dt,Ia_rollstd,0.003089422488243295,0.003089422488243295
Ib,Ic_Ia_ratio,0.0030794900370527778,0.0030794900370527778
THD,dIa_dt,-0.003075474658222356,0.003075474658222356
dVc_dt,Vb_rollstd,-0.003038439772882918,0.003038439772882918
Ic_Ia_ratio,dVb_dt,0.0030208516833669158,0.0030208516833669158
Istd,is_zero_Iref,0.002983658357386496,0.002983658357386496
is_zero_Iref,Power_factor,0.0029804006441046483,0.0029804006441046483
dVa_dt,Ic_rollstd,0.0029660433144296206,0.0029660433144296206
THD,Ia_rollstd,0.0028879012076728793,0.0028879012076728793
dImean_dt,Ib_rollmean,0.0028653193940707975,0.0028653193940707975
Iref_error,Ib,0.0028287681031303677,0.0028287681031303677
Iref_rollmean,dVa_dt,-0.0027587990596397547,0.0027587990596397547
Istd,Power_VcIc,0.002756281862368792,0.002756281862368792
Apparent_Power,Power_VcIc,-0.0027225831939029816,0.0027225831939029816
dImean_dt,Vmean,-0.002716348903733751,0.002716348903733751
Istd,Va_rollstd,0.002703506610835739,0.002703506610835739
dVb_dt,Vmean,0.002677529420696059,0.002677529420696059
Ic,is_zero_Iref,-0.002634816416733292,0.002634816416733292
dVa_dt,Vmean,-0.002621926094118828,0.002621926094118828
Ic,dIa_dt,0.0026218376968775996,0.0026218376968775996
Istd,Iref_rollmean,0.0026099171062821985,0.0026099171062821985
